activity,active,relaxing,spectato
reading,0,9,0
golf,5,4,0
watching TV,0,9,0
tennis,5,4,0
sailing,5,4,0
attending a football game,1,9,9
going to the symphony,1,9,0
softball,5,4,0
attending a basketball game,1,9,9
fishing,3,8,0
bicycling,7,4,0
hiking,7,4,0
swimming,7,4,0
running,8,3,0
chess,0,8,0
racquetball,6,4,0
walking,6,4,0
gardening,4,8,0
basketball,6,4,0
watching sports on TV,0,9,9
camping,4,4,0
hunting,4,8,0
billiards,1,8,0
ping pong,4,8,0
volleyball,5,4,0
bowling,4,4,0
watching a rented movie,0,9,0
aerobics,9,3,0
snow skiing,6,4,0
sewing,1,8,0
going to a movie,1,9,0
attending a baseball game,1,9,9
